Time,Own1.OwnIdent.Parameters.Name,Own1.OwnPlatform.StateVector.PresentPos.Latitude,Own1.OwnPlatform.StateVector.PresentPos.Longitude,Own1.OwnPlatform.StateVector.PresentPos.AltitudeSea,Own1.OwnPlatform.StateVector.PresentPos.AltitudeGround,Own1.OwnPlatform.StateVector.PresentPos.Heading,Own1.OwnPlatform.StateVector.PresentPos.Pitch,Own1.OwnPlatform.StateVector.PresentPos.Roll,Own1.OwnPlatform.StateVector.DirectionAngles.TrackAngle,Own1.OwnPlatform.StateVector.IncidenceAngles.Alpha,Own1.OwnPlatform.StateVector.Velocity.TAS,Own1.OwnPlatform.StateVector.Velocity.CAS,Own1.OwnPlatform.StateVector.Velocity.Mach,Own1.OwnPlatform.StateVector.Velocity.North,Own1.OwnPlatform.StateVector.Velocity.East,Own1.OwnPlatform.StateVector.Velocity.Down,timeDifferences,North,East,Down,CAS,Heading,Pitch,Roll
msec,N/A,rad,rad,ft,ft,rad,rad,rad,rad,rad,ft/sec,ft/sec,N/A,ft/sec,ft/sec,ft/sec,msec,m/sec,m/sec,m/sec,k/sec,deg,deg,deg
507444,Own1,0.547,0.605,16013.776,15566.649,4.697,-0.013,-0.5,-1.567,0.045,574.185,450.066,0.539,2.133,-573.368,30.541,100,0,0,0,266.6574941,269.1182764,-0.744845134,-28.64788976
507544,Own1,0.547,0.605,16011.236,15564.621,4.693,-0.011,-0.501,-1.57,0.046,574.137,450.043,0.539,0.621,-573.331,30.41,100,65.01463058,-17476.46915,930.9009998,266.643867,268.8890933,-0.630253575,-28.70518554
507644,Own1,0.547,0.605,16008.206,15562.139,4.689,-0.009,-0.501,-1.573,0.049,574.07,450.017,0.539,-1.24,-573.276,30.172,100,83.94294075,-34951.81053,1857.809071,266.6284623,268.6599101,-0.515662016,-28.70518554
507744,Own1,0.547,0.605,16004.709,15559.202,4.683,-0.004,-0.502,-1.577,0.053,573.971,449.959,0.539,-3.501,-573.19,29.733,100,46.14728115,-52425.47549,2777.462814,266.5940982,268.3161355,-0.229183118,-28.76248132
507844,Own1,0.547,0.605,16001.763,15556.806,4.677,0.002,-0.501,-1.58,0.058,573.865,449.887,0.539,-5.544,-573.097,29.165,90,-60.56449646,-69896.51914,3683.735674,266.5514392,267.9723608,0.114591559,-28.70518554
507934,Own1,0.547,0.605,15999.358,15554.998,4.671,0.006,-0.501,-1.584,0.063,573.759,449.826,0.539,-7.335,-573.002,28.527,109,-212.6493538,-85617.90722,4483.799683,266.5152976,267.6285861,0.343774677,-28.70518554
508043,Own1,0.547,0.605,15996.552,15552.778,4.665,0.013,-0.501,-1.588,0.068,573.606,449.717,0.539,-9.594,-572.864,27.558,100,-456.3444891,-104655.0988,5431.569434,266.4507167,267.2848114,0.744845134,-28.70518554
508143,Own1,0.547,0.605,15993.853,15550.797,4.659,0.02,-0.5,-1.592,0.072,573.395,449.595,0.539,-12.368,-572.664,26.165,100,-748.7731651,-122116.2058,6271.547488,266.3784335,266.9410368,1.14591559,-28.64788976
508243,Own1,0.547,0.605,15990.866,15548.727,4.652,0.025,-0.5,-1.597,0.076,573.19,449.426,0.538,-14.839,-572.462,24.791,92,-1125.754389,-139571.2168,7069.066386,266.2783035,266.5399663,1.432394488,-28.64788976
508335,Own1,0.547,0.605,15988.851,15547.427,4.647,0.028,-0.501,-1.6,0.078,573.006,449.29,0.538,-16.941,-572.271,23.566,102,-1541.868752,-155624.1624,7764.254145,266.1977255,266.2534874,1.604281826,-28.70518554
508437,Own1,0.547,0.605,15986.57,15546.239,4.642,0.032,-0.502,-1.605,0.079,572.773,449.12,0.538,-19.495,-572.017,22.04,100,-2068.56407,-173416.0552,8496.920568,266.097003,265.9670085,1.833464944,-28.76248132
508537,Own1,0.547,0.605,15984.444,15545.433,4.638,0.034,-0.504,-1.609,0.079,572.528,448.944,0.538,-22.493,-571.687,20.244,99,-2662.778895,-190851.3454,9168.707937,265.9927256,265.7378254,1.948056503,-28.87707287
508636,Own1,0.547,0.605,15982.155,15543.987,4.633,0.036,-0.508,-1.615,0.078,572.235,448.726,0.537,-25.055,-571.38,18.747,100,-3341.517922,-208102.3247,9779.582114,265.8635638,265.4513465,2.062648062,-29.10625599
508736,Own1,0.547,0.605,15980.643,15542.999,4.629,0.037,-0.512,-1.618,0.077,572.023,448.564,0.537,-27.174,-571.108,17.559,100,-4105.203609,-225518.1989,10350.99762,265.7675812,265.2221634,2.119943842,-29.33543911
508836,Own1,0.547,0.605,15978.955,15541.794,4.625,0.038,-0.517,-1.623,0.075,571.767,448.371,0.537,-29.697,-570.765,16.218,100,-4933.477201,-242925.7824,10886.20245,265.6532315,264.9929802,2.177239621,-29.62191801
508936,Own1,0.547,0.605,15977.396,15540.844,4.621,0.039,-0.523,-1.627,0.074,571.509,448.171,0.537,-32.202,-570.405,14.968,99,-5838.652768,-260322.9112,11380.5331,265.5347345,264.7637971,2.234535401,-29.96569269
509035,Own1,0.547,0.605,15975.73,15539.798,4.616,0.041,-0.53,-1.632,0.073,571.205,447.946,0.536,-35.114,-569.963,13.6,100,-6810.366374,-277535.2054,11832.20099,265.4014253,264.4773182,2.34912696,-30.36676314
509135,Own1,0.547,0.605,15974.636,15538.776,4.612,0.042,-0.534,-1.636,0.073,570.986,447.776,0.536,-37.194,-569.633,12.666,100,-7880.654109,-294907.8889,12246.73403,265.3007028,264.2481351,2.40642274,-30.59594626
509235,Own1,0.547,0.605,15973.425,15537.565,4.608,0.043,-0.539,-1.64,0.072,570.72,447.565,0.536,-39.701,-569.22,11.567,100,-9014.341014,-312270.5139,12632.7984,265.1756884,264.018952,2.463718519,-30.88242516
509335,Own1,0.547,0.605,15972.322,15536.449,4.603,0.044,-0.544,-1.645,0.072,570.45,447.358,0.536,-42.221,-568.789,10.489,100,-10224.44221,-329620.5505,12985.36485,265.0530439,263.7324731,2.521014299,-31.16890406
509435,Own1,0.547,0.605,15971.326,15535.441,4.599,0.046,-0.549,-1.649,0.071,570.177,447.148,0.535,-44.749,-568.34,9.441,100,-11511.35394,-346957.45,13305.07346,264.928622,263.50329,2.635605858,-31.45538295
509535,Own1,0.547,0.605,15970.433,15534.536,4.594,0.047,-0.553,-1.654,0.071,569.901,446.934,0.535,-47.279,-567.874,8.426,100,-12875.32004,-364280.6639,13592.83864,264.8018301,263.2168111,2.692901637,-31.68456607
509635,Own1,0.547,0.605,15969.639,15533.989,4.59,0.048,-0.556,-1.658,0.07,569.624,446.713,0.535,-49.805,-567.394,7.449,99,-14316.40149,-381589.6739,13849.66624,264.6708909,262.987628,2.750197417,-31.85645341
